home,away,home_code,away_code,home_last_wins,home_last_draws,home_last_loses,away_last_wins,away_last_draws,away_last_loses,GF,GA
Norwich,Chelsea,30,14,0,2,0,0,1,1,1,3
Blackburn,Everton,4,18,0,0,2,1,0,0,0,1
Bolton,Liverpool,6,25,1,0,1,0,1,1,1,3
Chelsea,Norwich,14,30,1,1,0,0,2,0,3,1
Wigan,QPR,47,34,0,2,0,1,0,1,2,0
Swansea,Sunderland,41,40,0,1,1,1,1,0,0,0
Sunderland,Swansea,40,41,0,1,1,1,1,0,0,0
QPR,Wigan,34,47,1,0,1,0,2,0,0,2
Aston Villa,Wolves,1,49,1,1,0,0,0,2,0,0
Man United,Arsenal,27,0,2,0,0,1,1,0,8,2
Newcastle,Fulham,29,19,1,1,0,1,1,0,2,1
Tottenham,Man City,43,26,0,0,1,0,0,2,1,5
Arsenal,Man United,0,27,0,1,1,0,0,2,2,8
Fulham,Newcastle,19,29,0,1,1,0,1,1,1,2
West Brom,Stoke,45,39,0,0,2,0,2,0,0,1
Man City,Tottenham,26,43,2,0,0,1,0,0,5,1
Stoke,West Brom,39,45,0,2,0,2,0,0,1,0
Swansea,Arsenal,41,0,0,2,1,2,1,0,0,1
Everton,Aston Villa,18,1,1,0,1,0,2,1,2,2
Man United,Bolton,27,6,3,0,0,2,0,1,5,0
Sunderland,Chelsea,40,14,0,2,1,0,1,2,1,2
Aston Villa,Everton,1,18,1,2,0,1,0,1,2,2
Stoke,Liverpool,39,25,1,2,0,0,1,2,1,0
Wigan,Man City,47,26,1,2,0,0,0,3,0,3
Bolton,Man United,6,27,1,0,2,0,0,3,0,5
Liverpool,Stoke,25,39,2,1,0,0,2,1,0,1
Chelsea,Sunderland,14,40,2,1,0,1,2,0,2,1
Arsenal,Swansea,0,41,0,1,2,1,2,0,1,0
Wolves,Tottenham,49,43,2,1,0,2,0,0,0,2
Man City,Wigan,26,47,3,0,0,0,2,1,3,0
Tottenham,Wolves,43,49,0,0,2,0,1,2,2,0
Fulham,Blackburn,19,4,0,1,2,3,0,0,1,1
Blackburn,Fulham,4,19,0,0,3,2,1,0,1,1
West Brom,Norwich,45,30,0,0,3,1,2,0,1,0
Norwich,West Brom,30,45,0,2,1,3,0,0,0,1
QPR,Newcastle,34,29,1,0,2,0,1,2,0,0
Newcastle,QPR,29,34,2,1,0,2,0,1,0,0
Blackburn,Arsenal,4,0,0,1,3,2,1,1,4,3
Newcastle,Aston Villa,29,1,2,2,0,0,3,1,1,1
Arsenal,Blackburn,0,4,1,1,2,3,1,0,3,4
Norwich,Bolton,30,6,0,2,2,3,0,1,2,1
Wigan,Everton,47,18,1,2,1,1,1,1,1,3
Aston Villa,Newcastle,1,29,1,3,0,0,2,2,1,1
Bolton,Norwich,6,30,1,0,3,2,2,0,1,2
Wolves,QPR,49,34,2,1,1,2,1,1,0,3
West Brom,Swansea,45,41,1,0,3,2,2,0,0,3
Swansea,West Brom,41,45,0,2,2,3,0,1,3,0
Everton,Wigan,18,47,1,1,1,1,2,1,3,1
QPR,Wolves,34,49,1,1,2,1,1,2,3,0
Man United,Chelsea,27,14,4,0,0,0,1,3,3,1
Man City,Fulham,26,19,4,0,0,2,2,0,2,2
Tottenham,Liverpool,43,25,1,0,2,1,1,2,4,0
Fulham,Man City,19,26,0,2,2,0,0,4,2,2
Chelsea,Man United,14,27,3,1,0,0,0,4,1,3
Sunderland,Stoke,40,39,0,2,2,0,2,2,4,0
Stoke,Sunderland,39,40,2,2,0,2,2,0,0,4
Liverpool,Tottenham,25,43,2,1,1,2,0,1,0,4
Bolton,Arsenal,6,0,1,0,4,3,1,1,0,3
Newcastle,Blackburn,29,4,2,3,0,3,1,1,3,1
Arsenal,Bolton,0,6,1,1,3,4,0,1,3,0
Swansea,Chelsea,41,14,1,2,2,1,1,3,1,4
Man City,Everton,26,18,4,1,0,1,1,2,2,0
West Brom,Fulham,45,19,1,0,4,2,3,0,0,0
Wolves,Liverpool,49,25,2,1,2,2,1,2,1,2
Everton,Man City,18,26,2,1,1,0,1,4,0,2
Stoke,Man United,39,27,2,2,1,0,0,5,1,1
Blackburn,Newcastle,4,29,1,1,3,0,3,2,1,3
Man United,Stoke,27,39,5,0,0,1,2,2,1,1
Chelsea,Swansea,14,41,3,1,1,2,2,1,4,1
Wigan,Tottenham,47,43,1,2,2,2,0,2,1,2
Fulham,West Brom,19,45,0,3,2,4,0,1,0,0
Tottenham,Wigan,43,47,2,0,2,2,2,1,2,1
Liverpool,Wolves,25,49,2,1,2,2,1,2,2,1
QPR,Aston Villa,34,1,2,1,2,0,4,1,1,1
Aston Villa,QPR,1,34,1,4,0,2,1,2,1,1
Sunderland,Norwich,40,30,1,2,2,2,2,1,1,2
Norwich,Sunderland,30,40,1,2,2,2,2,1,2,1
Wigan,Aston Villa,47,1,1,1,3,0,4,1,0,2
Man City,Blackburn,26,4,4,1,0,3,1,1,4,0
Liverpool,Everton,25,18,3,0,2,2,1,2,2,0
Everton,Liverpool,18,25,2,1,2,2,0,3,0,2
Blackburn,Man City,4,26,1,1,3,0,1,4,0,4
Norwich,Man United,30,27,2,1,2,0,1,4,0,2
Wolves,Newcastle,49,29,1,1,3,0,2,3,1,2
Man United,Norwich,27,30,4,1,0,2,1,2,2,0
West Brom,Sunderland,45,40,1,1,3,3,1,1,2,2
Sunderland,West Brom,40,45,1,1,3,3,1,1,2,2
Aston Villa,Wigan,1,47,1,4,0,3,1,1,2,0
Newcastle,Wolves,29,49,3,2,0,3,1,1,2,1
Tottenham,Arsenal,43,0,3,0,2,3,0,2,2,1
Chelsea,Bolton,14,6,4,0,1,5,0,0,5,1
Bolton,Chelsea,6,14,0,0,5,1,0,4,1,5
QPR,Fulham,34,19,2,2,1,2,3,0,0,6
Fulham,QPR,19,34,0,3,2,1,2,2,6,0
Swansea,Stoke,41,39,1,2,2,1,2,2,2,0
Stoke,Swansea,39,41,2,2,1,2,2,1,0,2
Arsenal,Tottenham,0,43,2,0,3,2,0,3,1,2
Man City,Aston Villa,26,1,4,1,0,0,4,1,4,1
QPR,Blackburn,34,4,1,2,2,3,1,1,1,1
Wigan,Bolton,47,6,1,0,4,5,0,0,1,3
Everton,Chelsea,18,14,2,1,2,1,0,4,1,3
Chelsea,Everton,14,18,4,0,1,2,1,2,3,1
Stoke,Fulham,39,19,2,1,2,1,3,1,2,0
Man United,Liverpool,27,25,4,1,0,2,0,3,1,1
Aston Villa,Man City,1,26,1,4,0,0,1,4,1,4
Liverpool,Man United,25,27,3,0,2,0,1,4,1,1
Swansea,Norwich,41,30,2,1,2,3,0,2,1,3
Blackburn,QPR,4,34,1,1,3,2,2,1,1,1
Fulham,Stoke,19,39,1,3,1,2,1,2,0,2
Norwich,Swansea,30,41,2,0,3,2,1,2,3,1
Bolton,Wigan,6,47,0,0,5,4,0,1,3,1
Sunderland,Arsenal,40,0,1,2,2,3,0,2,1,2
